Income_LB,Income_UB,Tax_Units,Tot_Income_mil
0,100000,1369075,70420
100000,150000,1163511,146347
150000,200000,1319399,231703
200000,300000,2063376,513683
300000,400000,1447149,505048
400000,500000,964896,431275
500000,750000,1355676,822411
750000,1000000,587572,502278
1000000,1500000,438883,529437
1500000,2000000,175204,299431
2000000,3000000,111955,267935
3000000,4000000,44502,152468
4000000,5000000,24133,107090
5000000,6000000,14340,77722
6000000,7000000,9160,58262
7000000,8000000,6119,45178
8000000,9000000,4117,34260
9000000,10000000,2863,26720
10000000,15000000,5975,70100
15000000,20000000,2122,35794
20000000,999999999999,2883,124239
